time,key,event
1666211260.3842576,'h',p
1666211260.466643,'h',r
1666211260.5088336,'e',p
1666211260.6162367,'e',r
1666211260.7571626,';',p
1666211260.791105,';',r
1666211261.7005045,Key.backspace,p
1666211261.7985246,Key.backspace,r
1666211262.0292466,'l',p
1666211262.087232,'l',r
1666211262.3167832,'l',p
1666211262.443527,'l',r
1666211262.5911775,'o',p
1666211262.7072978,'o',r
1666211262.9760067,Key.space,p
1666211263.139215,Key.space,r
1666211264.055014,Key.shift,p
1666211264.2351134,'I',p
1666211264.298504,Key.shift,r
1666211264.3114183,'i',r
1666211264.4051867,Key.space,p
1666211264.525234,Key.space,r
1666211264.5915072,'a',p
1666211264.6527555,'m',p
1666211264.6964688,'a',r
1666211264.747185,'m',r
1666211264.866253,Key.space,p
1666211264.966412,Key.space,r
1666211265.5375109,'t',p
1666211265.5534935,'t',r
1666211266.0281544,Key.backspace,p
1666211266.1431003,Key.backspace,r
1666211266.3670037,'y',p
1666211266.4628417,'y',r
1666211266.5473757,'a',p
1666211266.6739812,'a',r
1666211266.6767642,'j',p
1666211266.7876015,'j',r
1666211266.8195317,'a',p
1666211266.8981092,'a',r
1666211266.9483397,'t',p
1666211267.0291028,'t',r
1666211267.1420624,Key.space,p
1666211267.2472594,Key.space,r
1666211267.6225314,'m',p
1666211267.703848,'m',r
1666211267.7225199,'a',p
1666211267.8351731,'a',r
1666211267.847616,'l',p
1666211267.942765,'l',r
1666211268.0536358,'h',p
1666211268.1349535,'h',r
1666211268.2026613,'o',p
1666211268.3089325,'o',r
1666211268.4905074,'t',p
1666211268.5738707,'t',r
1666211268.652335,'r',p
1666211268.7496145,'r',r
1666211268.7988906,'a',p
1666211268.926738,'a',r
1666211269.6701455,'.',p
1666211269.7390597,'.',r
1666211269.8707612,Key.space,p
1666211269.9512126,Key.space,r
1666211270.0712478,Key.shift,p
1666211270.1982036,'T',p
1666211270.2850797,'T',r
1666211270.3027036,Key.shift,r
1666211270.398591,'h',p
1666211270.4978652,'h',r
1666211270.5523334,'e',p
1666211270.6878376,'e',r
1666211270.707856,Key.space,p
1666211270.8085163,Key.space,r
1666211271.285728,'q',p
1666211271.3842773,'q',r
1666211271.5177386,'u',p
1666211271.5905142,'u',r
1666211271.6914356,'i',p
1666211271.7788281,'i',r
1666211271.8492358,'c',p
1666211271.958768,'c',r
1666211271.9614127,'k',p
1666211272.0751188,'k',r
1666211272.195858,Key.space,p
1666211272.2880075,Key.space,r
1666211273.0759819,'b',p
1666211273.1680787,'b',r
1666211273.270228,'r',p
1666211273.3607826,'r',r
1666211273.4346023,'o',p
1666211273.5542977,'o',r
1666211273.6333473,'w',p
1666211273.7533853,'w',r
1666211273.8058019,'n',p
1666211273.8837128,'n',r
1666211273.986125,Key.space,p
1666211274.0812182,Key.space,r
1666211274.986954,'f',p
1666211275.0682693,'f',r
1666211275.1578236,'o',p
1666211275.2638047,'o',r
1666211275.463023,'x',p
1666211275.564513,'x',r
1666211275.61295,Key.space,p
1666211275.7162204,Key.space,r
1666211276.6620364,'j',p
1666211276.7524905,'j',r
1666211276.874603,'u',p
1666211276.9601896,'u',r
1666211277.1137595,'m',p
1666211277.1900103,'m',r
1666211277.2871428,'p',p
1666211277.377201,'p',r
1666211277.4065251,'s',p
1666211277.5502748,'s',r
1666211277.6569355,Key.space,p
1666211277.765755,Key.space,r
1666211278.2199159,'o',p
1666211278.3176827,'o',r
1666211278.5288947,'v',p
1666211278.6058972,'v',r
1666211278.6374488,'e',p
1666211278.7337177,'e',r
1666211278.840514,'r',p
1666211278.933908,'r',r
1666211279.1129048,Key.space,p
1666211279.2288375,Key.space,r
1666211279.6904466,'t',p
1666211279.7611566,'t',r
1666211279.8788521,'h',p
1666211279.9631288,'h',r
1666211279.9963453,'e',p
1666211280.0894005,'e',r
1666211280.1264005,Key.space,p
1666211280.2068017,Key.space,r
1666211280.4636137,'a',p
1666211280.5565202,'a',r
1666211280.950225,Key.backspace,p
1666211281.0680206,Key.backspace,r
1666211281.223279,'l',p
1666211281.3203669,'l',r
1666211281.329333,'a',p
1666211281.4289925,'a',r
1666211281.569692,'z',p
1666211281.6916547,'z',r
1666211281.9486496,'y',p
1666211282.0455332,'y',r
1666211282.308991,Key.space,p
1666211282.4165144,Key.space,r
1666211283.377163,'d',p
1666211283.5266566,'d',r
1666211283.6398008,'o',p
1666211283.7791493,'o',r
1666211283.9456506,'g',p
1666211284.1017628,'g',r
